
Title,Date
"Expresso do Amanhã: Temporada 2: Toma lá, dá cá","24/02/2022"
"Space Force: Temporada 2: Cortes no orçamento","23/02/2022"
"Space Force: Temporada 2: O julgamento","21/02/2022"
"Inventando Anna: Minissérie: Vida de VIP","13/02/2022"
"Bigbug","12/02/2022"
"Murderville: Temporada 1: A assistente do mágico","06/02/2022"
"Criando Dion: Temporada 2: Questão 201: Retorno do herói","04/02/2022"
"A Vizinha da Mulher na Janela: Temporada 1: Episódio 7","02/02/2022"
"A Vizinha da Mulher na Janela: Temporada 1: Episódio 6","01/02/2022"
"A Vizinha da Mulher na Janela: Temporada 1: Episódio 5","01/02/2022"
"A Vizinha da Mulher na Janela: Temporada 1: Episódio 4","01/02/2022"
"A Vizinha da Mulher na Janela: Temporada 1: Episódio 3","01/02/2022"
"A Vizinha da Mulher na Janela: Temporada 1: Episódio 2","01/02/2022"
"A Vizinha da Mulher na Janela: Temporada 1: Episódio 1","31/01/2022"
"All of Us Are Dead: Temporada 1: Episódio 1","31/01/2022"
"Jornada nas estrelas: Temporada 1: E as meninas, de que são feitas?","25/01/2022"
"Jornada nas estrelas: Temporada 1: As mulheres de Mudd","25/01/2022"
"Jornada nas estrelas: Temporada 1: A inimigo interior","25/01/2022"
"Na Direção do Amor: Temporada 1: Episódio 1","25/01/2022"
"Sim Senhor","25/01/2022"
"Palácio Yanxi: As Aventuras da Princesa: Temporada 1: Episódio 1","25/01/2022"
"Hae-Ryung, a historiadora: Temporada 1: Episódio 1","25/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 20","25/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 19","24/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 18","24/01/2022"
"Tudo Bem Não Ser Normal: Temporada 1: O menino que se alimentava de pesadelos","24/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 17","23/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 16","23/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 15","23/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 14","23/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 13","23/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 12","23/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 11","23/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 10","23/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 9","23/01/2022"
"Ozark: Temporada 4 - Parte 1: Santificado","22/01/2022"
"Ozark: Temporada 4 - Parte 1: Sangue acima de tudo","22/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 8","22/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 7","22/01/2022"
"Ozark: Temporada 4 - Parte 1: Explicação plausível","22/01/2022"
"Ozark: Temporada 4 - Parte 1: Uma jogada ruim","22/01/2022"
"Ozark: Temporada 4 - Parte 1: Ambição","22/01/2022"
"Ozark: Temporada 4 - Parte 1: Deixe o grande mundo girar","22/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 6","21/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 5","21/01/2022"
"Ozark: Temporada 4 - Parte 1: O início do fim","21/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 4","21/01/2022"
"Ozark: Temporada 2: Nas trevas exteriores","21/01/2022"
"Gente Ansiosa: Minissérie: Evaporou","20/01/2022"
"Gente Ansiosa: Minissérie: Visitação em andamento","19/01/2022"
"JoJo's Bizarre Adventure: Stone Ocean: Oceano de pedra","19/01/2022"
"Rebelde: Temporada 1: Sejam todes bem-vindes","19/01/2022"
"A Filha Perdida","19/01/2022"
"Ataque dos Cães","19/01/2022"
"Brooklyn Nine-Nine: Temporada 1: 48 horas","19/01/2022"
"Mãe x Androides","19/01/2022"
"O Páramo","19/01/2022"
"Fique Comigo: Minissérie: Episódio 1","19/01/2022"
"After Life - Vocês vão ter de me engolir: Temporada 3: Episódio 6","19/01/2022"
"O Mar da Tranquilidade: Temporada 1: Causa da morte","19/01/2022"
"Outlander: Temporada 1: Inglesa","19/01/2022"
"Seinfeld: Temporada 7: A piscada","19/01/2022"
"The Witcher: Temporada 2: Decisões e consequências","19/01/2022"
"One-Punch Man: Temporada 2: Retorno do Herói","19/01/2022"
"Yesterday","19/01/2022"
"Cobra Kai: Temporada 4: Campos minados","19/01/2022"
"After Life - Vocês vão ter de me engolir: Temporada 3: Episódio 5","17/01/2022"
"After Life - Vocês vão ter de me engolir: Temporada 3: Episódio 4","17/01/2022"
"After Life - Vocês vão ter de me engolir: Temporada 3: Episódio 3","17/01/2022"
